Image_name,Card-set,Card_number,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Password,Status,Effect types,Ritual required,Property,Ritual Monster required,Pendulum Scale,Rank,Link Arrows,ATK / LINK,Other names (Japanese),Summoned by the effect of
LOD-028 SR.png,Legacy of Darkness,LOD-028,Super Rare,Reinforcement of the Army,,Spell,,,,,32807846,"['Limited (OCG)', 'Limited (TCG)', 'Unlimited (TCG Speed Duel)']",['Effect'],,Normal,,,,,,,
TDGS-EN008 R.png,The Duelist Genesis,TDGS-EN008,Rare,Big Piece Golem,,Monster,EARTH,Rock / Effect,5.0,2100 / 0,25247218,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Unclassified'],,,,,,,,,
EEN-EN038 C.png,Elemental Energy,EEN-EN038,Common,Dark World Lightning,,Spell,,,,,93554166,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
REDU-EN007 C.png,Return of the Duelist,REDU-EN007,Common,Heroic Challenger - Swordshield,,Monster,EARTH,Warrior / Effect,4.0,0 / 2000,52370835,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Quick'],,,,,,,,,
LIOV-EN075 UR.png,Lightning Overdrive,LIOV-EN075,Ultra Rare,Amaze Attraction Horror House,,Trap,,,,,92650018,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Quick-like', 'Condition']",,Normal,,,,,,,
LODT-EN034 C.png,Light of Destruction,LODT-EN034,Common,"Interplanetary Invader ""A""",,Monster,LIGHT,Reptile / Effect,1.0,0 / 500,14729426,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
CYHO-EN036 C.png,Cybernetic Horizon,CYHO-EN036,Common,Link Devotee,,Monster,EARTH,Cyberse / Link / Effect,,,48068378,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,Top-Center,500 / 1,,
GENF-EN089 ScR.png,Generation Force,GENF-EN089,Secret Rare,Smashing Horn,,Trap,,,,,93396832,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Counter,,,,,,,
GFP2-EN152 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN152,Ultra Rare,The Flute of Summoning Kuriboh,,Spell,,,,,20065322,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Quick-Play,,,,,,,
STBL-EN049 C.png,Starstrike Blast,STBL-EN049,Common,Scrap Lube,,Spell,,,,,22539270,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Lingering', 'Continuous-like', 'Continuous-like', 'Condition']",,Continuous,,,,,,,
TLM-EN046 R.png,The Lost Millennium,TLM-EN046,Rare,Nitro Unit,,Spell,,,,,23842445,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Trigger-like']",,Equip,,,,,,,
GLAS-EN030 R.png,Gladiator's Assault,GLAS-EN030,Rare,Goblin Black Ops,,Monster,DARK,Beast-Warrior / Effect,4.0,1300 / 0,66707058,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous']",,,,,,,,,
LOB-105 C.png,Legend of Blue Eyes White Dragon,LOB-105,Common,Skull Red Bird,,Monster,WIND,Winged Beast,4.0,1550 / 1200,10202894,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
CORE-EN078 C.png,Clash of Rebellions,CORE-EN078,Common,Balance of Judgment,,Trap,,,,,67443336,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect', 'Condition']",,Normal,,,,,,,
MACR-EN018 SR.png,Maximum Crisis ,MACR-EN018,Super Rare,Supreme King Gate Infinity,,Monster,DARK,Fiend / Pendulum / Effect,7.0,0 / 0,22211622,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Pendulum Effect ', 'Continuous-like', 'Condition', 'Ignition-like', 'Monster Effect', 'Ignition', 'Trigger']",,,,13.0,,,,,
CSOC-EN002 R.png,Crossroads of Chaos,CSOC-EN002,Rare,Turbo Synchron,,Monster,WIND,Machine / Tuner / Effect,1.0,100 / 500,67270095,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger']",,,,,,,,,
LOB-119 R.png,Legend of Blue Eyes White Dragon,LOB-119,Rare,Pot of Greed,,Spell,,,,,55144522,"['Forbidden (OCG)', 'Forbidden (TCG Advanced)', 'Limited (TCG Traditional)']",['Effect'],,Normal,,,,,,,
GFP2-EN016 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN016,Ultra Rare,Shell Knight,,Monster,EARTH,Rock / Effect,4.0,0 / 2000,10163855,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
PHRA-EN096 C.png,Phantom Rage,PHRA-EN096,Common,Myutant Expansion,,Trap,,,,,60967717,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Continuous-like', 'Condition']",,Continuous,,,,,,,
LOB-016 C.png,Legend of Blue Eyes White Dragon,LOB-016,Common,Flame Manipulator,,Monster,FIRE,Spellcaster / Normal,3.0,900 / 1000,34460851,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",,,,,,,,,,
STOR-EN015 SR.png,Storm of Ragnarok,STOR-EN015,Super Rare,Svartalf of the Nordic Alfar,,Monster,DARK,Spellcaster / Tuner / Effect,5.0,1400 / 1600,77060848,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
LON-070 C.png,Labyrinth of Nightmare,LON-070,Common,Garuda the Wind Spirit,,Monster,WIND,Winged Beast / Effect,4.0,1600 / 1200,12800777,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Trigger']",,,,,,,,,
LOB-032 C.png,Legend of Blue Eyes White Dragon,LOB-032,Common,Root Water,,Monster,WATER,Fish,3.0,900 / 800,39004808,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
PTDN-EN025 C.png,Phantom Darkness,PTDN-EN025,Common,Gemini Lancer,,Monster,WATER,Sea Serpent / Gemini,4.0,1800 / 1400,26254876,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Condition', 'Continuous']",,,,,,,,,
RATE-EN027 SR.png,Raging Tempest,RATE-EN027,Super Rare,"Tierra, Source of Destruction",,Monster,LIGHT,Fiend / Effect,11.0,3400 / 3600,91588074,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Unclassified', 'Trigger', 'Condition']",,,,,,,,,
LON-095 C.png,Labyrinth of Nightmare,LON-095,Common,Cyclon Laser,,Spell,,,,,05494820,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Continuous-like', 'Continuous-like']",,Equip,,,,,,,
RGBT-EN032 C.png,Raging Battle,RGBT-EN032,Common,Gigastone Omega,,Monster,EARTH,Rock / Effect,5.0,1000 / 2300,79080761,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Trigger']",,,,,,,,,
SECE-EN073 C.png,Secrets of Eternity,SECE-EN073,Common,Re-qliate,,Trap,,,,,20426907,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger-like', 'Trigger-like', 'Continuous-like']",,Continuous,,,,,,,
SHVI-EN022 UR.png,Shining Victories,SHVI-EN022,Ultra Rare,The White Stone of Ancients,,Monster,LIGHT,Dragon / Tuner / Effect,1.0,600 / 500,71039903,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,,,,
GFP2-EN095 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN095,Ultra Rare,Despian Comedy,,Monster,DARK,Fairy / Effect,1.0,0 / 2000,90179822,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Quick', 'Condition']",,,,,,,,,
SAST-EN006 R.png,Savage Strike,SAST-EN006,Rare,Speedburst Dragon,,Monster,DARK,Dragon / Effect,6.0,2400 / 600,12950294,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
CSOC-EN078 C.png,Crossroads of Chaos,CSOC-EN078,Common,DNA Checkup,,Trap,,,,,27340877,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
SHVI-EN041 C.png,Shining Victories,SHVI-EN041,Common,Gendo the Ascetic Monk,,Monster,WATER,Spellcaster / Effect,4.0,300 / 1800,99000107,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous']",,,,,,,,,
DREV-EN070 C.png,Duelist Revolution,DREV-EN070,Common,Scrap Rage,,Trap,,,,,59699355,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
STON-EN047 C.png,Strike of Neos,STON-EN047,Common,Shien's Castle of Mist,,Spell,,,,,11102908,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Field,,,,,,,
STBL-EN052 C.png,Starstrike Blast,STBL-EN052,Common,Barkion's Bark,,Spell,,,,,11813722,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
GAOV-EN048 ScR.png,Galactic Overlord,GAOV-EN048,Secret Rare,Hieratic Sun Dragon Overlord of Heliopolis,,Monster,LIGHT,Dragon / Xyz / Effect,,3000 / 2400,64332231,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,8.0,,,,
ANPR-EN040 UR.png,Ancient Prophecy,ANPR-EN040,Ultra Rare,Ancient Fairy Dragon,,Monster,LIGHT,Dragon / Synchro / Effect,7.0,2100 / 3000,25862681,"['Forbidden (OCG)', 'Forbidden (TCG Advanced)', 'Limited (TCG Traditional)']","['Ignition', 'Condition', 'Ignition']",,,,,,,,,
ABPF-EN074 C.png,Absolute Powerforce,ABPF-EN074,Common,Machine King - 3000 B.C.,,Trap,,,,,70406920,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Effect', 'Ignition', 'Condition']",,Continuous,,,,,,,
GFP2-EN113 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN113,Ultra Rare,Doomking Balerdroch,,Monster,DARK,Zombie / Effect,8.0,2800 / 2000,39185163,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Quick']",,,,,,,,,
MRD-030 C.png,Metal Raiders,MRD-030,Common,Ocubeam,,Monster,LIGHT,Fairy,5.0,1550 / 1650,86088138,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
ANPR-EN049 C.png,Ancient Prophecy,ANPR-EN049,Common,Emergency Assistance,,Spell,,,,,24019261,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
TDGS-EN033 UR.png,The Duelist Genesis,TDGS-EN033,Ultra Rare,Dark Hunter,,Monster,DARK,Fiend / Effect,4.0,1600 / 400,19357125,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Continuous', 'Continuous', 'Ignition']",,,,,,,,,
ROTD-EN006 C.png,Rise of the Duelist,ROTD-EN006,Common,"Dogmatika Theo, the Iron Punch",,Monster,LIGHT,Spellcaster / Effect,4.0,1800 / 1500,96891787,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Condition', 'Ignition', 'Ignition']",,,,,,,,,
GFP2-EN027 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN027,Ultra Rare,Altergeist Failover,,Trap,,,,,98753320,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger-like', 'Quick-like', 'Condition']",,Continuous,,,,,,,
GLAS-EN083 SR.png,Gladiator's Assault,GLAS-EN083,Super Rare,Defensive Tactics,,Trap,,,,,28877100,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
CROS-EN003 C.png,Crossed Souls,CROS-EN003,Common,Performapal Bowhopper,,Monster,EARTH,Insect / Effect,4.0,1500 / 1000,37745740,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Ignition', 'Condition']",,,,,,,,,
TSHD-EN000 SR.png,The Shining Darkness,TSHD-EN000,Super Rare,XX-Saber Boggart Knight,,Monster,EARTH,Beast-Warrior / Effect,4.0,1900 / 1000,05998840,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
EXFO-EN080 SP.png,Extreme Force,EXFO-EN080,Short Print,Oops!,,Trap,,,,,55573346,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
SHSP-EN090 UR.png,Shadow Specters,SHSP-EN090,Ultra Rare,"Celestial Wolf Lord, Blue Sirius",Wolf Lord Blue Sirius,Monster,DARK,Beast-Warrior / Synchro / Effect,6.0,2400 / 1500,32995007,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
IGAS-EN088 ScR.png,Ignition Assault,IGAS-EN088,Secret Rare,Plunder Patrollship Moerk,,Monster,DARK,Fiend / Xyz / Effect,,1000 / 2500,20248754,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Condition', 'Continuous']",,,,,4.0,,,,
SOFU-EN006 C.png,Soul Fusion,SOFU-EN006,Common,Dinowrestler Capoeiraptor,,Monster,EARTH,Dinosaur / Effect,4.0,1800 / 0,29996433,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous', 'Trigger', 'Condition']",,,,,,,,,
CBLZ-EN084 ScR.png,Cosmo Blazer,CBLZ-EN084,Secret Rare,Bonfire Colossus,,Monster,FIRE,Beast-Warrior / Effect,8.0,2600 / 2200,59834564,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger']",,,,,,,,,
SHSP-EN079 C.png,Shadow Specters,SHSP-EN079,Common,Survival of the Fittest,,Trap,,,,,58272005,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Continuous-like', 'Trigger-like']",,Normal,,,,,,,
GAOV-EN032 R.png,Galactic Overlord,GAOV-EN032,Rare,Lightray Sorcerer,,Monster,LIGHT,Spellcaster / Effect,6.0,2300 / 2000,91349449,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Ignition', 'Condition']",,,,,,,,,
CHIM-EN090 SR.png,Chaos Impact,CHIM-EN090,Super Rare,Dream Mirror Hypnagogia,,Trap,,,,,25964547,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
AST-023 SR.png,Ancient Sanctuary,AST-023,Super Rare,Zaborg the Thunder Monarch,,Monster,LIGHT,Thunder / Effect,5.0,2400 / 1000,51945556,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
PRIO-EN094 C.png,Primal Origin,PRIO-EN094,Common,Shogi Knight,,Monster,EARTH,Beast-Warrior / Effect,3.0,800 / 400,41493640,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger']",,,,,,,,,
CRV-EN055 R.png,Cybernetic Revolution,CRV-EN055,Rare,Magical Explosion,,Trap,,,,,32723153,"['Forbidden (OCG)', 'Limited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
CORE-EN065 ScR.png,Clash of Rebellions,CORE-EN065,Secret Rare,Mistaken Arrest,,Spell,,,,,04227096,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Quick-Play,,,,,,,
STBL-EN021 C.png,Starstrike Blast,STBL-EN021,Common,"Karakuri Strategist mdl 248 ""Nishipachi""",,Monster,EARTH,Machine / Tuner,3.0,500 / 1600,66625883,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Trigger']",,,,,,,,,
FET-EN033 C.png,Flaming Eternity,FET-EN033,Common,Rescue Cat,,Monster,EARTH,Beast / Effect,4.0,300 / 100,14878871,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Condition']",,,,,,,,,
LODT-EN047 C.png,Light of Destruction,LODT-EN047,Common,Demise of the Land,,Spell,,,,,48934760,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Quick-Play,,,,,,,
SOFU-EN017 C.png,Soul Fusion,SOFU-EN017,Common,"World Legacy - ""World Wand""",,Monster,DARK,Machine / Effect,8.0,500 / 2500,93920420,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Condition', 'Trigger', 'Ignition']",,,,,,,,,
BACH-EN018 C.png,Battle of Chaos,BACH-EN018,Common,"Neiroy, the Dream Mirror Traitor",,Monster,DARK,Fiend / Effect,3.0,1000 / 1000,90176467,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,,,,
